縣市(City)代碼,縣市簡碼(三碼),縣市(County)代碼,縣市代碼(五碼),縣市名稱,資料來源平台,資料版本編號,最後檢查時間
A,TPE,A,63000,臺北市,TDX,25.12.1,2026-02-09T00:00:22+0000
B,TXG,B,66000,臺中市,TDX,25.12.1,2026-02-09T00:00:22+0000
C,KEE,C,10017,基隆市,TDX,25.12.1,2026-02-09T00:00:22+0000
D,TNN,D,67000,臺南市,TDX,25.12.1,2026-02-09T00:00:22+0000
E,KHH,E,64000,高雄市,TDX,25.12.1,2026-02-09T00:00:22+0000
F,NWT,F,65000,新北市,TDX,25.12.1,2026-02-09T00:00:22+0000
G,ILA,G,10002,宜蘭縣,TDX,25.12.1,2026-02-09T00:00:22+0000
H,TAO,H,68000,桃園市,TDX,25.12.1,2026-02-09T00:00:22+0000
I,CYI,I,10020,嘉義市,TDX,25.12.1,2026-02-09T00:00:22+0000
J,HSQ,J,10004,新竹縣,TDX,25.12.1,2026-02-09T00:00:22+0000
K,MIA,K,10005,苗栗縣,TDX,25.12.1,2026-02-09T00:00:22+0000
M,NAN,M,10008,南投縣,TDX,25.12.1,2026-02-09T00:00:22+0000
N,CHA,N,10007,彰化縣,TDX,25.12.1,2026-02-09T00:00:22+0000
O,HSZ,O,10018,新竹市,TDX,25.12.1,2026-02-09T00:00:22+0000
P,YUN,P,10009,雲林縣,TDX,25.12.1,2026-02-09T00:00:22+0000
Q,CYQ,Q,10010,嘉義縣,TDX,25.12.1,2026-02-09T00:00:22+0000
T,PIF,T,10013,屏東縣,TDX,25.12.1,2026-02-09T00:00:22+0000
U,HUA,U,10015,花蓮縣,TDX,25.12.1,2026-02-09T00:00:22+0000
V,TTT,V,10014,臺東縣,TDX,25.12.1,2026-02-09T00:00:22+0000
W,KIN,W,09020,金門縣,TDX,25.12.1,2026-02-09T00:00:22+0000
X,PEN,X,10016,澎湖縣,TDX,25.12.1,2026-02-09T00:00:22+0000
Z,LIE,Z,09007,連江縣,TDX,25.12.1,2026-02-09T00:00:22+0000
